recall,precision,std_recall,std_precision,type
0.0,1.0,0.0,0.0,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.005,0.8255208874458875,0.0,0.17128492016863658,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.01,0.8185180729601782,0.0,0.18114281820944597,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.015,0.8225308380003117,0.0,0.1657182150027249,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.02,0.7673661973495045,0.0,0.17501145661932382,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.025,0.7515964762019248,0.0,0.17889256416031946,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.03,0.7441234050837814,0.0,0.14836364412090997,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.035,0.7209770086532246,0.0,0.13559401670067303,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.04,0.6926270365497993,0.0,0.13077560130589488,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.045,0.6846160035568146,0.0,0.13742715605032427,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.05,0.6773706205936341,0.0,0.1342825828602797,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.05500000000000001,0.6691124139014317,6.938893903907228e-18,0.13022386368174468,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.06,0.6595916535528081,0.0,0.12462215867973143,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.065,0.6457193315172437,0.0,0.12367261413330517,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.07,0.6417592170627674,0.0,0.11325565541973122,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.075,0.6363379947825049,0.0,0.10983877095027783,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.08,0.6340063386860788,0.0,0.11629103894710863,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.085,0.6340161805627231,0.0,0.10663742241591696,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.09,0.6313162216063752,0.0,0.10374498579828102,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.095,0.628408315002964,0.0,0.0941341933563247,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.1,0.6209707826194288,0.0,0.0892972199444966,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.10500000000000001,0.6160121992437679,1.3877787807814457e-17,0.07935574580489267,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.11000000000000001,0.6101628929907309,1.3877787807814457e-17,0.0744421846550679,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.11500000000000002,0.6053269951577966,1.3877787807814457e-17,0.07432328059344077,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.12,0.6038622598256992,0.0,0.07480401658294451,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.125,0.6007228387108525,0.0,0.073906757765021,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.13,0.599912014052157,0.0,0.0735760987121187,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.135,0.5991706728119496,0.0,0.07539223235572784,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.14,0.596271834955184,0.0,0.06557732296043826,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
0.145,0.5965841264391022,0.0,0.06515731559066895,2022-01-06_11-03-43_nocdr3dup_default_epgrouped5cv
