epoch,accuracy,fn,fp,loss,pr_auc,precision,recall,roc_auc,tn,tp,val_accuracy,val_fn,val_fp,val_loss,val_pr_auc,val_precision,val_recall,val_roc_auc,val_tn,val_tp
0,0.49840375781059265,2832.0,2510.0,8.481033325195312,0.49614933133125305,0.49830102920532227,0.4681690037250519,0.49425074458122253,2815.0,2493.0,0.5022539496421814,1107.0,218.0,7.8632636070251465,0.5030785799026489,0.5067873597145081,0.1682945191860199,0.5133698582649231,1113.0,224.0
1,0.5056338310241699,2782.0,2483.0,7.234736442565918,0.5054894089698792,0.5059689879417419,0.4775586724281311,0.5061327815055847,2842.0,2543.0,0.5078887939453125,857.0,453.0,6.558721542358398,0.5145419239997864,0.5113268494606018,0.3561232089996338,0.5136715769767761,878.0,474.0
2,0.5119248628616333,2685.0,2513.0,5.9170637130737305,0.5092233419418335,0.5123229026794434,0.49577465653419495,0.5124066472053528,2812.0,2640.0,0.5180315375328064,973.0,310.0,5.274657249450684,0.5218055844306946,0.5359281301498413,0.26897069811820984,0.5158334970474243,1021.0,358.0
3,0.5130516290664673,2707.0,2479.0,4.711455821990967,0.5183529853820801,0.5136354565620422,0.49164319038391113,0.5205371379852295,2846.0,2618.0,0.5199098587036133,984.0,294.0,4.183628559112549,0.5239717960357666,0.5413416624069214,0.26070624589920044,0.529613733291626,1037.0,347.0
4,0.5248826146125793,2558.0,2502.0,3.7315683364868164,0.5247318148612976,0.5251470804214478,0.5196244120597839,0.5299571752548218,2823.0,2767.0,0.5127723813056946,806.0,491.0,3.314779281616211,0.5152520537376404,0.5167322754859924,0.39444026350975037,0.5253832340240479,840.0,525.0
5,0.5299530625343323,2567.0,2439.0,3.0101640224456787,0.5422316193580627,0.5306907892227173,0.517934262752533,0.5449192523956299,2886.0,2758.0,0.5033808946609497,1210.0,112.0,2.7390570640563965,0.5237268805503845,0.5193132758140564,0.09090909361839294,0.5395117998123169,1219.0,121.0
6,0.5349295735359192,2509.0,2444.0,2.5106425285339355,0.5496748685836792,0.5353612303733826,0.5288262963294983,0.5539389848709106,2881.0,2816.0,0.5300526022911072,384.0,867.0,2.310439109802246,0.5238457918167114,0.5220507383346558,0.7114951014518738,0.543077826499939,464.0,947.0
7,0.5447887182235718,2385.0,2463.0,2.1462674140930176,0.5631825923919678,0.5441421270370483,0.5521126985549927,0.5628563761711121,2862.0,2940.0,0.5097671151161194,351.0,954.0,2.009967088699341,0.5216988921165466,0.5067217946052551,0.7362884879112244,0.5288524627685547,377.0,980.0
8,0.5546478629112244,2395.0,2348.0,1.8827406167984009,0.5761715769767761,0.5551345348358154,0.5502347350120544,0.5795302391052246,2977.0,2930.0,0.5007513165473938,497.0,832.0,1.7784647941589355,0.5185145735740662,0.5006002187728882,0.6265965700149536,0.5165421962738037,499.0,834.0
9,0.564600944519043,2342.0,2295.0,1.668025255203247,0.5855052471160889,0.5651761889457703,0.560187816619873,0.5943852663040161,3030.0,2983.0,0.5221638083457947,657.0,615.0,1.5998364686965942,0.5191365480422974,0.5228859782218933,0.5063861608505249,0.5290291905403137,716.0,674.0
10,0.5728638768196106,2240.0,2309.0,1.5194737911224365,0.6000347137451172,0.571931779384613,0.5793427228927612,0.6055207252502441,3016.0,3085.0,0.5432006120681763,490.0,726.0,1.4747192859649658,0.5320568084716797,0.536694347858429,0.6318557262420654,0.5481032729148865,605.0,841.0
11,0.593802809715271,2170.0,2156.0,1.4013855457305908,0.6215394139289856,0.5940501093864441,0.5924882888793945,0.6323139071464539,3169.0,3155.0,0.5319308638572693,370.0,876.0,1.3874708414077759,0.5270219445228577,0.5231355428695679,0.722013533115387,0.5420386791229248,455.0,961.0
12,0.6053521037101746,2069.0,2134.0,1.3160202503204346,0.6413081288337708,0.6040816307067871,0.6114553809165955,0.6479305028915405,3191.0,3256.0,0.5180315375328064,547.0,736.0,1.3282824754714966,0.5221291780471802,0.5157894492149353,0.5890308022499084,0.5216512680053711,595.0,784.0
13,0.6338967084884644,1932.0,1967.0,1.239223599433899,0.6750385165214539,0.6330223679542542,0.6371830701828003,0.6854690909385681,3358.0,3393.0,0.5165289044380188,461.0,826.0,1.288261890411377,0.516187846660614,0.5129716992378235,0.6536439061164856,0.5240513682365417,505.0,870.0
14,0.6525821685791016,1831.0,1869.0,1.1781688928604126,0.7033928632736206,0.6515009999275208,0.656150221824646,0.7142587304115295,3456.0,3494.0,0.5067618489265442,737.0,576.0,1.261025071144104,0.5249214768409729,0.5076923370361328,0.44628098607063293,0.5259178280830383,755.0,594.0
15,0.6726760268211365,1690.0,1796.0,1.1268798112869263,0.7309838533401489,0.6693058609962463,0.6826291084289551,0.7412906289100647,3529.0,3635.0,0.5214124917984009,790.0,484.0,1.2454811334609985,0.5234562158584595,0.5278048515319824,0.40646129846572876,0.5275666117668152,847.0,541.0
16,0.6982159614562988,1596.0,1618.0,1.0742535591125488,0.7692007422447205,0.6974003911018372,0.7002816796302795,0.7748461365699768,3707.0,3729.0,0.5093914270401001,613.0,693.0,1.2400765419006348,0.5180321931838989,0.5088589787483215,0.5394440293312073,0.5218905806541443,638.0,718.0
17,0.7192488312721252,1476.0,1514.0,1.0327134132385254,0.790476381778717,0.7176952958106995,0.7228168845176697,0.7966806292533875,3811.0,3849.0,0.5082644820213318,453.0,856.0,1.2528389692306519,0.5092405676841736,0.5063437223434448,0.6596543788909912,0.5123712420463562,475.0,878.0
18,0.7478873133659363,1306.0,1379.0,0.9823343753814697,0.8243840932846069,0.7445350289344788,0.7547417879104614,0.8270147442817688,3946.0,4019.0,0.5135236382484436,741.0,554.0,1.276222586631775,0.5160811543464661,0.5157342553138733,0.44327571988105774,0.5164135098457336,777.0,590.0
19,0.7648826241493225,1224.0,1280.0,0.9399173855781555,0.8518182635307312,0.7621260285377502,0.7701408267021179,0.8507155776023865,4045.0,4101.0,0.5184072256088257,680.0,602.0,1.2819099426269531,0.5218285322189331,0.5195530652999878,0.4891059398651123,0.5211835503578186,729.0,651.0
